table_name,column_name
all_pharmacogenes_combined,gene_symbol
all_pharmacogenes_combined,gene_name
all_pharmacogenes_combined,source
all_pharmacogenes_combined,evidence
all_pharmacogenes_combined,source_count
allele_id_mapping,variation_id
allele_id_mapping,allele_id
clinvar_all_variants,variant_id
clinvar_all_variants,allele_id
clinvar_all_variants,accession
clinvar_all_variants,gene_id
clinvar_all_variants,gene_name
clinvar_all_variants,clinical_significance
clinvar_all_variants,clinical_significance_simple
clinvar_all_variants,disease
clinvar_all_variants,phenotype_ids
clinvar_all_variants,chromosome
clinvar_all_variants,position
clinvar_all_variants,stop_position
clinvar_all_variants,cytogenetic
clinvar_all_variants,variant_type
clinvar_all_variants,variant_name
clinvar_all_variants,reference_allele
clinvar_all_variants,alternate_allele
clinvar_all_variants,review_status
clinvar_all_variants,number_submitters
clinvar_all_variants,origin
clinvar_all_variants,origin_simple
clinvar_all_variants,last_evaluated
clinvar_all_variants,assembly
estd_214_gr_ch_38_variant_region_vcf_parsed_full,variant_id
estd_214_gr_ch_38_variant_region_vcf_parsed_full,variant_name
estd_214_gr_ch_38_variant_region_vcf_parsed_full,variant_type
estd_214_gr_ch_38_variant_region_vcf_parsed_full,variant_sub_type
estd_214_gr_ch_38_variant_region_vcf_parsed_full,assembly
estd_214_gr_ch_38_variant_region_vcf_parsed_full,clinical_significance
estd_214_gr_ch_38_variant_region_vcf_parsed_full,chromosome
estd_214_gr_ch_38_variant_region_vcf_parsed_full,start_position
estd_214_gr_ch_38_variant_region_vcf_parsed_full,end_position
estd_214_gr_ch_38_variant_region_vcf_parsed_full,method
estd_214_gr_ch_38_variant_region_vcf_parsed_full,platform
estd_214_gr_ch_38_variant_region_vcf_parsed_full,study_id
estd_214_gr_ch_38_variant_region_vcf_parsed_full,data_source
estd_214_gr_ch_38_variant_region_vcf_parsed_full,download_date
gencode_gene_coordinates,gene_name
gencode_gene_coordinates,chromosome
gencode_gene_coordinates,start_position
gencode_gene_coordinates,end_position
gencode_gene_coordinates,gene_length
gencode_gene_coordinates,source
gene_disease_ncbi,gene_id
gene_disease_ncbi,gene_symbol
gene_disease_ncbi,medgen_id
gene_disease_ncbi,omim_id
gene_disease_ncbi,disease_name
gene_disease_ncbi,association_type
gene_disease_ncbi,source
gene_disease_ncbi,data_source
gene_disease_ncbi,download_date
gene_metadata_all,gene_id
gene_metadata_all,gene_name
gene_metadata_all,official_symbol
gene_metadata_all,description
gene_metadata_all,chromosome
gene_metadata_all,map_location
gene_metadata_all,gene_type
gene_metadata_all,other_aliases
gene_metadata_all,other_designations
gene_metadata_all,full_name
gene_metadata_all,nomenclature_status
gene_metadata_all,db_xrefs
gene_metadata_all,modification_date
gene_metadata_all,feature_type
gene_metadata_all,start_position
gene_metadata_all,end_position
gene_metadata_all,strand
gene_metadata_all,gene_length
gene_metadata_all,download_date
gene_metadata_all,data_source
gtr_gene_disease_tests,gtr_test_id
gtr_gene_disease_tests,test_name
gtr_gene_disease_tests,gene_symbol
gtr_gene_disease_tests,gene_id
gtr_gene_disease_tests,disease_name
gtr_gene_disease_tests,disease_id
gtr_gene_disease_tests,data_source
gtr_gene_disease_tests,download_date
medgen_concepts_raw,medgen_id
medgen_concepts_raw,disease_name
medgen_concepts_raw,term_type
medgen_concepts_raw,is_preferred
medgen_concepts_raw,source_db
medgen_concepts_raw,source_code
medgen_concepts_raw,data_source
medgen_concepts_raw,download_date
medgen_relations_raw,source_medgen_id
medgen_relations_raw,target_medgen_id
medgen_relations_raw,relationship
medgen_relations_raw,relationship_detail
medgen_relations_raw,source_db
medgen_relations_raw,data_source
medgen_relations_raw,download_date
ncbi_gene_2_refseq_coordinates,gene_id
ncbi_gene_2_refseq_coordinates,start_position
ncbi_gene_2_refseq_coordinates,end_position
ncbi_gene_2_refseq_coordinates,gene_length
ncbi_gene_2_refseq_coordinates,source
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,variant_id
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,variant_name
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,variant_type
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,variant_sub_type
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,assembly
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,clinical_significance
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,chromosome
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,start_position
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,end_position
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,method
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,platform
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,study_id
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,data_source
nstd_102_gr_ch_38_variant_call_vcf_parsed_full,download_date
nstd_102_gr_ch_38_variant_region_vcf_parsed_full,variant_id
nstd_102_gr_ch_38_variant_region_vcf_parsed_full,variant_name
nstd_102_gr_ch_38_variant_region_vcf_parsed_full,variant_type
nstd_102_gr_ch_38_variant_region_vcf_parsed_full,variant_sub_type
nstd_102_gr_ch_38_variant_region_vcf_parsed_full,assembly
nstd_102_gr_ch_38_variant_region_vcf_parsed_full,clinical_significance
nstd_102_gr_ch_38_variant_region_vcf_parsed_full,chromosome
nstd_102_gr_ch_38_variant_region_vcf_parsed_full,start_position
